,Order Channel,Quantity,Unit Price,Customer Type,Category Group,shippingStatus,Category,Delivery Date,Sales
24,Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-08 07:55:00,16800.0
25,Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-08 07:55:00,16800.0
26,Mobile App,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-08 13:57:00,4700.0
27,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-08 19:01:00,4700.0
28,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-08 19:01:00,4700.0
29,Whatsapp,2.0,16800.0,Wholesale,Baby,delivered,Baby Food,2020-12-10 10:03:00,33600.0
30,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-10 13:31:00,4700.0
31,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-11 12:37:00,13100.0
32,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-11 12:37:00,13100.0
33,Whatsapp,1.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-11 12:37:00,7480.0
34,Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-11 12:37:00,16800.0
35,Mobile App,2.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-11 14:03:00,33600.0
36,Whatsapp,1.0,16800.0,Wholesale,Baby,delivered,Baby Food,2020-12-12 11:51:00,16800.0
37,Whatsapp,0.5,35000.0,General Trade,Baby,delivered,Baby Food,2020-12-12 19:54:00,17500.0
38,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-14 15:50:00,4700.0
39,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-14 15:50:00,4700.0
40,Mobile App,1.0,35000.0,Wholesale,Baby,delivered,Baby Food,2020-12-14 17:22:00,35000.0
41,Mobile App,10.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-15 12:29:00,47000.0
42,Mobile App,3.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-15 12:29:00,14100.0
43,Mobile App,2.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-15 13:47:00,9400.0
44,Mobile App,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-15 13:47:00,13100.0
45,Whatsapp,2.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-15 16:51:00,14960.0
46,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-15 16:51:00,4700.0
47,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-15 16:51:00,4700.0
48,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-15 16:51:00,13100.0
49,Mobile App,1.0,13100.0,Wholesale,Baby,delivered,Infant Care,2020-12-15 18:44:00,13100.0
50,Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-16 09:42:00,16800.0
51,Whatsapp,1.0,4700.0,Wholesale,Baby,delivered,Infant Care,2020-12-16 21:31:00,4700.0
52,Whatsapp,1.0,4700.0,Wholesale,Baby,delivered,Infant Care,2020-12-16 21:31:00,4700.0
53,Mobile App,0.5,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-17 12:07:00,8400.0
54,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-17 14:56:00,13100.0
55,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-17 14:56:00,13100.0
56,Whatsapp,2.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-17 15:07:00,9400.0
57,Whatsapp,1.0,13100.0,Wholesale,Baby,delivered,Infant Care,2020-12-18 11:09:00,13100.0
58,Whatsapp,1.0,7480.0,Wholesale,Baby,delivered,Infant Care,2020-12-18 11:09:00,7480.0
59,Whatsapp,1.0,7480.0,Wholesale,Baby,delivered,Infant Care,2020-12-18 11:09:00,7480.0
60,Whatsapp,1.0,7480.0,Wholesale,Baby,delivered,Infant Care,2020-12-18 11:09:00,7480.0
61,Whatsapp,1.0,13100.0,Wholesale,Baby,delivered,Infant Care,2020-12-18 12:41:00,13100.0
62,Whatsapp,1.0,7480.0,Wholesale,Baby,delivered,Infant Care,2020-12-18 12:41:00,7480.0
63,Whatsapp,2.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-18 15:29:00,9400.0
64,Whatsapp,2.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-18 15:29:00,9400.0
65,Whatsapp,2.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-18 15:29:00,9400.0
66,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-18 15:29:00,13100.0
67,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-18 15:29:00,13100.0
68,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-18 17:32:00,13100.0
69,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-18 17:32:00,4700.0
70,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-18 17:32:00,4700.0
71,Whatsapp,1.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-21 09:41:00,7480.0
72,Whatsapp,1.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-21 10:51:00,7480.0
73,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-21 13:42:00,4700.0
74,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-21 13:42:00,4700.0
75,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-21 13:42:00,4700.0
76,Mobile App,2.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-21 16:06:00,26200.0
77,Mobile App,1.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-21 16:06:00,7480.0
78,Mobile App,0.5,13000.0,General Trade,Baby,delivered,Baby Food,2020-12-21 16:06:00,6500.0
79,Whatsapp,1.0,7480.0,General Trade,Baby,delivered,Infant Care,2020-12-22 09:23:00,7480.0
80,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-22 09:23:00,4700.0
81,Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-22 10:08:00,16800.0
82,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-24 10:12:00,4700.0
83,Mobile App,2.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-24 14:50:00,33600.0
84,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-24 16:45:00,13100.0
85,Mobile App,2.0,16800.0,Wholesale,Baby,delivered,Baby Food,2020-12-28 09:31:00,33600.0
86,Whatsapp,1.0,13100.0,Wholesale,Baby,delivered,Infant Care,2020-12-29 07:59:00,13100.0
87,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-29 11:52:00,4700.0
88,Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2020-12-29 13:05:00,16800.0
89,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-29 14:14:00,4700.0
90,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-29 16:08:00,13100.0
91,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2020-12-29 16:08:00,13100.0
92,Mobile App,2.0,13100.0,Wholesale,Baby,delivered,Infant Care,2020-12-30 15:43:00,26200.0
93,Mobile App,2.0,13100.0,Wholesale,Baby,delivered,Infant Care,2020-12-30 15:43:00,26200.0
94,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-31 16:51:00,4700.0
95,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-31 16:51:00,4700.0
96,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2020-12-31 16:51:00,4700.0
97,Whatsapp,2.0,4700.0,General Trade,Baby,delivered,Infant Care,2021-01-04 08:49:00,9400.0
98,Whatsapp,4.0,16800.0,General Trade,Baby,delivered,Baby Food,2021-01-04 15:21:00,67200.0
99,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2021-01-04 19:58:00,4700.0
100,Whatsapp,1.0,4700.0,General Trade,Baby,delivered,Infant Care,2021-01-04 19:58:00,4700.0
101,Whatsapp,1.0,13100.0,General Trade,Baby,delivered,Infant Care,2021-01-04 19:58:00,13100.0
102,Whatsapp,1.0,16800.0,General Trade,Baby,delivered,Baby Food,2021-01-04 19:58:00,16800.0
103,Mobile App,1.0,13100.0,General Trade,Baby,cancelled,Infant Care,NaT,13100.0
104,Mobile App,1.0,16800.0,General Trade,Baby,cancelled,Baby Food,NaT,16800.0
105,Mobile App,1.0,16800.0,Modern Trade,Baby,cancelled,Baby Food,NaT,16800.0
106,Mobile App,0.5,4700.0,General Trade,Baby,cancelled,Infant Care,NaT,2350.0
107,Mobile App,0.5,13100.0,General Trade,Baby,cancelled,Infant Care,NaT,6550.0
108,Mobile App,1.0,13100.0,Modern Trade,Baby,cancelled,Infant Care,NaT,13100.0
109,Mobile App,1.0,35000.0,General Trade,Baby,cancelled,Baby Food,NaT,35000.0
110,Whatsapp,1.0,7480.0,General Trade,Baby,cancelled,Infant Care,NaT,7480.0
111,Whatsapp,2.0,4700.0,General Trade,Baby,cancelled,Infant Care,NaT,9400.0
112,Whatsapp,2.0,7480.0,General Trade,Baby,cancelled,Infant Care,NaT,14960.0
113,Mobile App,5.0,13100.0,General Trade,Baby,cancelled,Infant Care,NaT,65500.0
114,Whatsapp,1.0,13100.0,Wholesale,Baby,cancelled,Infant Care,NaT,13100.0
115,Whatsapp,1.0,13100.0,Wholesale,Baby,cancelled,Infant Care,NaT,13100.0
116,Whatsapp,1.0,7480.0,Wholesale,Baby,cancelled,Infant Care,NaT,7480.0
117,Whatsapp,1.0,7480.0,Wholesale,Baby,cancelled,Infant Care,NaT,7480.0
118,Whatsapp,1.0,4700.0,Wholesale,Baby,cancelled,Infant Care,NaT,4700.0
119,Mobile App,1.0,4700.0,General Trade,Baby,cancelled,Infant Care,NaT,4700.0
120,Whatsapp,2.0,16800.0,Wholesale,Baby,cancelled,Baby Food,NaT,33600.0
121,Whatsapp,2.0,16800.0,Wholesale,Baby,cancelled,Baby Food,NaT,33600.0
122,Whatsapp,2.0,16800.0,Modern Trade,Baby,cancelled,Baby Food,NaT,33600.0
123,Whatsapp,1.0,16800.0,Modern Trade,Baby,cancelled,Baby Food,NaT,16800.0
124,Whatsapp,1.0,13100.0,General Trade,Baby,cancelled,Infant Care,NaT,13100.0
125,Whatsapp,1.0,4700.0,General Trade,Baby,cancelled,Infant Care,NaT,4700.0
126,Whatsapp,1.0,13100.0,General Trade,Baby,cancelled,Infant Care,NaT,13100.0
127,Whatsapp,1.0,13100.0,General Trade,Baby,cancelled,Infant Care,NaT,13100.0
128,Whatsapp,1.0,13100.0,General Trade,Baby,cancelled,Infant Care,NaT,13100.0
129,Whatsapp,2.0,16800.0,General Trade,Baby,cancelled,Baby Food,NaT,33600.0
130,Whatsapp,2.0,16800.0,General Trade,Baby,cancelled,Baby Food,NaT,33600.0
131,Whatsapp,2.0,16800.0,General Trade,Baby,cancelled,Baby Food,NaT,33600.0
132,Whatsapp,2.0,16800.0,General Trade,Baby,cancelled,Baby Food,NaT,33600.0
133,Whatsapp,2.0,16800.0,General Trade,Baby,cancelled,Baby Food,NaT,33600.0
134,Whatsapp,2.0,16800.0,General Trade,Baby,cancelled,Baby Food,NaT,33600.0
135,Whatsapp,1.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-02 18:14:00,4200.0
136,Whatsapp,1.0,5200.0,Wholesale,Beauty & Personal Care,delivered,Toileteries,2020-12-03 10:58:00,5200.0
137,Whatsapp,1.0,5200.0,Wholesale,Beauty & Personal Care,delivered,Toileteries,2020-12-03 10:58:00,5200.0
138,Whatsapp,1.0,4200.0,Wholesale,Beauty & Personal Care,delivered,Toileteries,2020-12-03 10:58:00,4200.0
139,Whatsapp,1.0,5700.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-03 12:41:00,5700.0
140,Mobile App,1.0,5700.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-04 11:43:00,5700.0
141,Mobile App,1.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-04 11:43:00,4200.0
142,Whatsapp,1.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-05 11:13:00,4200.0
143,Mobile App,2.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-05 14:27:00,8400.0
144,Whatsapp,1.0,4200.0,Wholesale,Beauty & Personal Care,delivered,Toileteries,2020-12-05 15:00:00,4200.0
145,Whatsapp,1.0,5200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-06 23:21:00,5200.0
146,Whatsapp,2.0,5200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-06 23:21:00,10400.0
147,Whatsapp,2.0,12300.0,General Trade,Beauty & Personal Care,delivered,Oral Care,2020-12-06 23:21:00,24600.0
148,Mobile App,1.0,5200.0,Wholesale,Beauty & Personal Care,delivered,Toileteries,2020-12-07 13:59:00,5200.0
149,Whatsapp,1.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-08 10:37:00,4200.0
150,Whatsapp,1.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-08 18:44:00,4200.0
151,Whatsapp,1.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-08 18:44:00,6850.0
152,Mobile App,3.0,4200.0,Wholesale,Beauty & Personal Care,delivered,Toileteries,2020-12-09 16:37:00,12600.0
153,Whatsapp,2.0,4200.0,Wholesale,Beauty & Personal Care,delivered,Toileteries,2020-12-14 10:24:00,8400.0
154,Whatsapp,2.0,5500.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-14 10:41:00,11000.0
155,Whatsapp,1.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-14 11:52:00,4200.0
156,Mobile App,5.0,12460.0,General Trade,Beauty & Personal Care,delivered,Oral Care,2020-12-14 12:10:00,62300.0
157,Mobile App,3.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-14 14:29:00,20550.0
158,Mobile App,2.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-14 14:29:00,8400.0
159,Mobile App,1.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-15 13:47:00,4200.0
160,Mobile App,1.0,5200.0,Modern Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-15 14:42:00,5200.0
161,Whatsapp,3.0,5500.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-15 14:55:00,16500.0
162,Whatsapp,1.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-15 17:18:00,4200.0
163,Mobile App,1.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-15 22:29:00,6850.0
164,Whatsapp,1.0,5700.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-16 14:53:00,5700.0
165,Mobile App,6.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-16 15:33:00,41100.0
166,Mobile App,5.0,4200.0,Wholesale,Beauty & Personal Care,delivered,Toileteries,2020-12-21 13:52:00,21000.0
167,Whatsapp,5.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-22 13:10:00,34250.0
168,Whatsapp,1.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-22 14:15:00,6850.0
169,Whatsapp,1.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-22 16:43:00,6850.0
170,Whatsapp,1.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-22 17:30:00,6850.0
171,Web App,1.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-24 11:01:00,4200.0
172,Web App,1.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-24 11:01:00,4200.0
173,Web App,1.0,5200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-24 11:01:00,5200.0
174,Web App,1.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-24 11:01:00,6850.0
175,Whatsapp,1.0,6850.0,Wholesale,Beauty & Personal Care,delivered,Toileteries,2020-12-24 11:14:00,6850.0
176,Mobile App,5.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-24 12:01:00,34250.0
177,Mobile App,3.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-28 11:46:00,12600.0
178,Mobile App,5.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-29 10:41:00,34250.0
179,Whatsapp,1.0,6850.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-29 20:54:00,6850.0
180,Mobile App,5.0,4200.0,General Trade,Beauty & Personal Care,delivered,Toileteries,2020-12-31 08:03:00,21000.0
181,Mobile App,0.5,7200.0,Modern Trade,Beauty & Personal Care,cancelled,Toileteries,NaT,3600.0
182,Mobile App,1.0,5500.0,Modern Trade,Beauty & Personal Care,cancelled,Toileteries,NaT,5500.0
183,Mobile App,0.5,12300.0,General Trade,Beauty & Personal Care,cancelled,Oral Care,NaT,6150.0
184,Mobile App,1.0,4200.0,General Trade,Beauty & Personal Care,cancelled,Toileteries,NaT,4200.0
185,Mobile App,2.0,8350.0,General Trade,Beauty & Personal Care,cancelled,Toileteries,NaT,16700.0
186,Mobile App,0.5,8350.0,General Trade,Beauty & Personal Care,cancelled,Toileteries,NaT,4175.0
187,Mobile App,3.0,12300.0,General Trade,Beauty & Personal Care,cancelled,Oral Care,NaT,36900.0
188,Mobile App,4.0,4200.0,General Trade,Beauty & Personal Care,cancelled,Toileteries,NaT,16800.0
189,Mobile App,3.0,6850.0,General Trade,Beauty & Personal Care,cancelled,Toileteries,NaT,20550.0
190,Whatsapp,1.0,4200.0,General Trade,Beauty & Personal Care,cancelled,Toileteries,NaT,4200.0
191,Whatsapp,1.0,6850.0,General Trade,Beauty & Personal Care,cancelled,Toileteries,NaT,6850.0
192,Whatsapp,1.0,8800.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-02 11:01:00,8800.0
193,Whatsapp,1.0,11200.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-02 11:01:00,11200.0
194,Mobile App,15.0,9120.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-02 12:01:00,136800.0
195,Mobile App,3.0,7450.0,General Trade,Breakfast & Snacks,delivered,Cereal,2020-12-02 12:01:00,22350.0
196,Mobile App,2.0,11200.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-02 12:01:00,22400.0
197,Mobile App,5.0,9120.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-02 12:56:00,45600.0
198,Whatsapp,1.0,7800.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-02 13:18:00,7800.0
199,Whatsapp,1.0,9120.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-02 13:18:00,9120.0
200,Whatsapp,1.0,3000.0,General Trade,Breakfast & Snacks,delivered,Confectionary,2020-12-02 13:18:00,3000.0
201,Whatsapp,1.0,1860.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-02 13:18:00,1860.0
202,Whatsapp,1.0,2000.0,General Trade,Breakfast & Snacks,delivered,Cereal,2020-12-02 16:08:00,2000.0
203,Whatsapp,1.0,9120.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-02 16:08:00,9120.0
204,Whatsapp,2.0,9120.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-02 18:14:00,18240.0
205,Whatsapp,1.0,3000.0,General Trade,Breakfast & Snacks,delivered,Confectionary,2020-12-02 18:51:00,3000.0
206,Whatsapp,1.0,4400.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-02 18:51:00,4400.0
207,Mobile App,1.0,9350.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-02 19:32:00,9350.0
208,Mobile App,5.0,10050.0,Modern Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-02 19:34:00,50250.0
209,Mobile App,2.0,7450.0,Modern Trade,Breakfast & Snacks,delivered,Cereal,2020-12-02 19:34:00,14900.0
210,Mobile App,5.0,9120.0,Modern Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-02 19:34:00,45600.0
211,Whatsapp,3.0,2000.0,Wholesale,Breakfast & Snacks,delivered,Cereal,2020-12-03 10:58:00,6000.0
212,Whatsapp,1.0,9050.0,Wholesale,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-03 10:58:00,9050.0
213,Whatsapp,1.0,11200.0,Wholesale,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-03 11:19:00,11200.0
214,Whatsapp,1.0,11000.0,Wholesale,Breakfast & Snacks,delivered,Milk,2020-12-03 11:19:00,11000.0
215,Whatsapp,1.0,9050.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-03 11:58:00,9050.0
216,Whatsapp,1.0,7000.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-03 11:58:00,7000.0
217,Whatsapp,2.0,2000.0,General Trade,Breakfast & Snacks,delivered,Cereal,2020-12-03 11:58:00,4000.0
218,Whatsapp,1.0,3750.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-03 11:58:00,3750.0
219,Whatsapp,1.0,6750.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-03 12:23:00,6750.0
220,Whatsapp,1.0,9120.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-03 12:23:00,9120.0
221,Whatsapp,1.0,11200.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-03 16:21:00,11200.0
222,Whatsapp,1.0,9120.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-03 16:21:00,9120.0
223,Mobile App,15.0,8500.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-03 17:07:00,127500.0
224,Mobile App,10.0,8500.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-03 17:07:00,85000.0
225,Mobile App,50.0,6750.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-03 17:07:00,337500.0
226,Mobile App,60.0,6750.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-03 17:07:00,405000.0
227,Mobile App,5.0,9050.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-03 17:30:00,45250.0
228,Mobile App,5.0,9050.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-03 17:30:00,45250.0
229,Mobile App,15.0,9120.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-03 17:30:00,136800.0
230,Mobile App,5.0,4200.0,Modern Trade,Breakfast & Snacks,delivered,Yoghurt,2020-12-03 17:59:00,21000.0
231,Mobile App,3.0,3000.0,Modern Trade,Breakfast & Snacks,delivered,Confectionary,2020-12-03 17:59:00,9000.0
232,Mobile App,3.0,3000.0,Modern Trade,Breakfast & Snacks,delivered,Confectionary,2020-12-03 17:59:00,9000.0
233,Mobile App,5.0,10050.0,Modern Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-03 17:59:00,50250.0
234,Whatsapp,5.0,6750.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-04 08:43:00,33750.0
235,Whatsapp,1.0,7800.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-04 10:23:00,7800.0
236,Whatsapp,1.0,6750.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-04 10:23:00,6750.0
237,Mobile App,4.0,6750.0,Wholesale,Breakfast & Snacks,delivered,Milk,2020-12-04 10:37:00,27000.0
238,Mobile App,1.0,9050.0,Wholesale,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-04 10:37:00,9050.0
239,Whatsapp,1.0,11200.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-04 11:05:00,11200.0
240,Whatsapp,1.0,8500.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-04 11:05:00,8500.0
241,Whatsapp,1.0,11200.0,General Trade,Breakfast & Snacks,delivered,Chocolate Beverage,2020-12-04 11:18:00,11200.0
242,Whatsapp,1.0,11000.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-04 11:18:00,11000.0
243,Whatsapp,1.0,8500.0,General Trade,Breakfast & Snacks,delivered,Milk,2020-12-04 11:18:00,8500.0
